10,March,2020,1,14
11,March,2020,1,15
12,March,2020,1,14
13,March,2020,1,15
14,March,2020,1,16
15,March,2020,1,19
16,March,2020,1,17
17,March,2020,1,16
18,March,2020,1,19
19,March,2020,1,16
20,March,2020,1,17
21,March,2020,1,18
22,March,2020,1,16
23,March,2020,1,19
24,March,2020,1,19
25,March,2020,1,19
26,March,2020,1,19
27,March,2020,1,19
28,March,2020,1,17
29,March,2020,1,17
30,March,2020,1,17
10,March,2020,2,19
11,March,2020,2,19
12,March,2020,2,19
13,March,2020,2,19
14,March,2020,2,19
15,March,2020,2,17
16,March,2020,2,17
17,March,2020,2,17
18,March,2020,2,18
19,March,2020,2,16
20,March,2020,2,16
21,March,2020,2,14
22,March,2020,2,15
23,March,2020,2,14
24,March,2020,2,15
25,March,2020,2,16
26,March,2020,2,19
27,March,2020,2,16
28,March,2020,2,17
29,March,2020,2,18
30,March,2020,2,16
10,March,2020,3,19
11,March,2020,3,19
12,March,2020,3,19
13,March,2020,3,19
14,March,2020,3,17
15,March,2020,3,17
16,March,2020,3,17
17,March,2020,3,19
18,March,2020,3,19
19,March,2020,3,19
20,March,2020,3,19
21,March,2020,3,19
22,March,2020,3,17
23,March,2020,3,17
24,March,2020,3,17
25,March,2020,3,18
26,March,2020,3,16
27,March,2020,3,16
28,March,2020,3,14
29,March,2020,3,15
30,March,2020,3,14
10,April,2020,1,14
11,April,2020,1,15
12,April,2020,1,14
13,April,2020,1,15
14,April,2020,1,16
15,April,2020,1,19
16,April,2020,1,17
17,April,2020,1,16
18,April,2020,1,19
19,April,2020,1,16
20,April,2020,1,17
21,April,2020,1,18
22,April,2020,1,16
23,April,2020,1,19
24,April,2020,1,19
25,April,2020,1,19
26,April,2020,1,19
27,April,2020,1,19
28,April,2020,1,17
29,April,2020,1,17
30,April,2020,1,17
10,April,2020,2,19
11,April,2020,2,19
12,April,2020,2,19
13,April,2020,2,19
14,April,2020,2,19
15,April,2020,2,17
16,April,2020,2,17
17,April,2020,2,17
18,April,2020,2,18
19,April,2020,2,16
20,April,2020,2,16
21,April,2020,2,14
22,April,2020,2,15
23,April,2020,2,14
24,April,2020,2,15
25,April,2020,2,16
26,April,2020,2,19
27,April,2020,2,16
28,April,2020,2,17
29,April,2020,2,18
30,April,2020,2,16
10,April,2020,3,19
11,April,2020,3,19
12,April,2020,3,19
13,April,2020,3,19
14,April,2020,3,17
15,April,2020,3,17
16,April,2020,3,17
17,April,2020,3,19
18,April,2020,3,19
19,April,2020,3,19
20,April,2020,3,19
21,April,2020,3,19
22,April,2020,3,17
23,April,2020,3,17
24,April,2020,3,17
25,April,2020,3,18
26,April,2020,3,16
27,April,2020,3,16
28,April,2020,3,14
29,April,2020,3,15
30,April,2020,3,14
